Name,Description,Date,Location,Latitude,Longitude,,Chron,,
Smith Street Alimentari Eatery,Breakfast out,Sun 11 Oct 15 00:39:50 +0000,-37.800219908454636 144.98467385803013,-37.800219908454636,144.98467385803013,,11 Oct 15 00:39:50,,
The Auburn Hotel,Doms 21st,Sat 10 Oct 15 08:26:46 +0000,-37.82199040189035 145.04536206224367,-37.82199040189035,145.04536206224367,,10 Oct 15 08:26:46,,
China Bar,Late night dumplings,Fri 09 Oct 15 11:45:00 +0000,-37.81107933867297 144.9672525002102,-37.81107933867297,144.9672525002102,,09 Oct 15 11:45:00,,
The Wilde,Tim's drinks,Fri 09 Oct 15 08:28:41 +0000,-37.80584619326708 144.97956379311253,-37.80584619326708,144.97956379311253,,09 Oct 15 08:28:41,,
The Auburn Hotel,@ The Auburn Hotel,Fri 02 Oct 15 04:14:30 +0000,-37.8220835225679 145.04534053005804,-37.8220835225679,145.04534053005804,,02 Oct 15 04:14:30,,
Hong Kong International Airport 香港國際機場 (HKG),Off to Melbourne!,Wed 23 Sep 15 15:51:38 +0000,22.313660498525444 113.92325355583563,22.313660498525444,113.92325355583563,,23 Sep 15 15:51:38,,
Mak's Noodle 麥奀雲吞麵世家,Trying this place again apparently I ordered the wrong dish the first time...,Wed 23 Sep 15 07:07:32 +0000,22.2833461908587 114.15432499387991,22.2833461908587,114.15432499387991,,23 Sep 15 07:07:32,,
Hong Kong Park 香港公園,SARS memorial to the healthcare workers that died,Wed 23 Sep 15 06:17:19 +0000,22.27656918463564 114.16105968523043,22.27656918463564,114.16105968523043,,23 Sep 15 06:17:19,,
Hong Kong 香港,An end of travel cocktail on top of Hong Kong,Tue 22 Sep 15 15:18:30 +0000,22.27743897954611 114.16637189124765,22.27743897954611,114.16637189124765,,22 Sep 15 15:18:30,,
Bun Cha Vietnamese Café &amp; Restaurant,Dinner time!,Tue 22 Sep 15 12:05:49 +0000,22.282959986961494 114.15137563142595,22.282959986961494,114.15137563142595,,22 Sep 15 12:05:49,,
Victoria Peak 太平山,Ready to watch the sunset,Tue 22 Sep 15 10:11:17 +0000,22.270992062719785 114.14994738983431,22.270992062719785,114.14994738983431,,22 Sep 15 10:11:17,,
Hong Kong Park 香港公園,#hongkong,Tue 22 Sep 15 08:43:55 +0000,22.27748696928205 114.16166928587388,22.27748696928205,114.16166928587388,,22 Sep 15 08:43:55,,
Brick Shop,There are some crazy nice Lego sets available...but crazy expensive especially here!,Tue 22 Sep 15 06:06:48 +0000,22.277976043185966 114.18220362851132,22.277976043185966,114.18220362851132,,22 Sep 15 06:06:48,,
Mak's Noodle 麥奀記雲吞麵,Lunch!,Tue 22 Sep 15 05:36:06 +0000,22.27712936193287 114.18238940276686,22.27712936193287,114.18238940276686,,22 Sep 15 05:36:06,,
Tim Ho Wan 添好運點心專門店,Per Jason's recommendation. Certainly looks good!,Mon 21 Sep 15 08:09:28 +0000,22.33011920080425 114.16612224801887,22.33011920080425,114.16612224801887,,21 Sep 15 08:09:28,,
Yuen Po Street Bird Garden 園圃街雀鳥花園,@ Yuen Po Street Bird Garden 園圃街雀鳥花園,Mon 21 Sep 15 07:20:09 +0000,22.32663873503344 114.17461003878769,22.32663873503344,114.17461003878769,,21 Sep 15 07:20:09,,
Star Ferry Pier (Tsim Sha Tsui) 天星渡輪碼頭（尖沙咀）,Took the ferry from Hong Kong Central to Kowloon in the dark...that's an impressive cityscape!,Sun 20 Sep 15 11:13:39 +0000,22.294254690726277 114.16728918376376,22.294254690726277,114.16728918376376,,20 Sep 15 11:13:39,,
Mavericks,A random surfer bar in rural Hong Kong,Sun 20 Sep 15 08:46:03 +0000,22.240344520249728 113.97646405763358,22.240344520249728,113.97646405763358,,20 Sep 15 08:46:03,,
Tian Tan Buddha (Giant Buddha) 天壇大佛,@ Tian Tan Buddha (Giant Buddha) 天壇大佛,Sun 20 Sep 15 08:04:45 +0000,22.243016721909104 113.89253623920017,22.243016721909104,113.89253623920017,,20 Sep 15 08:04:45,,
Crystal Jade 翡翠拉麵小籠包,@ Crystal Jade 翡翠拉麵小籠包,Sat 19 Sep 15 11:37:19 +0000,22.285044715613 114.15845871308105,22.285044715613,114.15845871308105,,19 Sep 15 11:37:19,,
Hong Kong International Airport 香港國際機場 (HKG),Last country before Australia!,Fri 18 Sep 15 12:27:02 +0000,22.299585031513224 113.93811196090732,22.299585031513224,113.93811196090732,,18 Sep 15 12:27:02,,
KTM Butterworth Railway Station (Stesen Keretapi),Off on my 10-hour train ride to Surat Thani/Koh Phangan! If only I had Thai money to enjoy the dining car...,Sun 13 Sep 15 06:38:40 +0000,5.392457 100.161058203211393,5.392457,100.161058203211393,,13 Sep 15 06:38:40,,
Kek Lok Si Temple (極樂寺),Pretty impressive temple complex!,Sat 12 Sep 15 02:43:17 +0000,5.399457354632948 100.36420128487343,5.399457354632948,100.36420128487343,,12 Sep 15 02:43:17,,
Cheong Fatt Tze Mansion (張弼士故居),Pretty stunning restored old mansion,Fri 11 Sep 15 07:31:16 +0000,5.421363187848866 100.3348158344624,5.421363187848866,100.3348158344624,,11 Sep 15 07:31:16,,
Langkawi Ferry Terminal,Heading to Penang for some colonial architecture to take a break from rain at the beach,Thu 10 Sep 15 02:37:01 +0000,6.312180861875481 99.85399882995473,6.312180861875481,99.85399882995473,,10 Sep 15 02:37:01,,
chenang inn,Safely at my hotel in Langkawi a resort island in Malaysia!,Sun 06 Sep 15 09:50:46 +0000,6.298352429265507 99.72377074749016,6.298352429265507,99.72377074749016,,06 Sep 15 09:50:46,,
LeVeL 33 Craft-Brewery Restaurant &amp; Lounge,@ LeVeL 33 Craft-Brewery Restaurant &amp; Lounge,Sat 05 Sep 15 15:14:11 +0000,1.2808993243498799 103.85446368691504,1.2808993243498799,103.85446368691504,,05 Sep 15 15:14:11,,
Funan DigitaLife Mall,@ Funan DigitaLife Mall,Fri 04 Sep 15 07:42:57 +0000,1.2919628983007743 103.8493794406308,1.2919628983007743,103.8493794406308,,04 Sep 15 07:42:57,,
Heavenly Wang,Laksa toast and Milo for lunch. Delicious!,Fri 04 Sep 15 05:29:38 +0000,1.2924785537922387 103.85034192255195,1.2924785537922387,103.85034192255195,,04 Sep 15 05:29:38,,
Singapore Philatelic Museum,@ Singapore Philatelic Museum,Fri 04 Sep 15 03:55:48 +0000,1.2935561954825419 103.84886989413796,1.2935561954825419,103.84886989413796,,04 Sep 15 03:55:48,,
Civil Defence Heritage Gallery,Wandered past this little museum,Fri 04 Sep 15 03:23:34 +0000,1.292118222612757 103.84939076390789,1.292118222612757,103.84939076390789,,04 Sep 15 03:23:34,,
Makansutra Gluttons Bay,Trying some local food with Jason,Thu 03 Sep 15 12:45:50 +0000,1.2901222375508634 103.85659255919411,1.2901222375508634,103.85659255919411,,03 Sep 15 12:45:50,,
The Fullerton Hotel,Doing a building tour,Thu 03 Sep 15 03:19:06 +0000,1.2859757591668302 103.85279345140772,1.2859757591668302,103.85279345140772,,03 Sep 15 03:19:06,,
The Salad Shop,Tim is in love with this place,Wed 02 Sep 15 06:35:22 +0000,1.2859286937664873 103.85138933709264,1.2859286937664873,103.85138933709264,,02 Sep 15 06:35:22,,
Flock Café,The breakfast set is exactly what we were looking for!,Wed 02 Sep 15 02:33:39 +0000,1.2839073912508694 103.83015953890936,1.2839073912508694,103.83015953890936,,02 Sep 15 02:33:39,,
Café Iguana,@ Café Iguana,Tue 01 Sep 15 13:18:05 +0000,1.313238551969381 103.85659255919411,1.313238551969381,103.85659255919411,,01 Sep 15 13:18:05,,
Cafe Batavia,@ Cafe Batavia,Mon 31 Aug 15 07:43:07 +0000,-6.134908063711532 106.81296079184241,-6.134908063711532,106.81296079184241,,31 Aug 15 07:43:07,,
SKYE,Bar with a view,Sun 30 Aug 15 10:56:31 +0000,-6.199011331867153 106.8214990656405,-6.199011331867153,106.8214990656405,,30 Aug 15 10:56:31,,
Citywalk Sudirman,Closed off streets for Sunday morning,Sun 30 Aug 15 01:26:38 +0000,-6.208994551962697 106.81773688492045,-6.208994551962697,106.81773688492045,,30 Aug 15 01:26:38,,
Melly's Garden Bar &amp; Resto Baruna,Expat bar with Tim,Sat 29 Aug 15 14:21:02 +0000,-6.1837715337480965 106.83043521627434,-6.1837715337480965,106.83043521627434,,29 Aug 15 14:21:02,,
Soekarno-Hatta International Airport (CGK),waiting an hour for it on the next flight :/,Sat 29 Aug 15 04:52:47 +0000,-6.122886637176976 106.65152685215429,-6.122886637176976,106.65152685215429,,29 Aug 15 04:52:47,,
The Gurnards Head,An excellent dinner before camping out for the night,Sun 23 Aug 15 18:43:01 +0000,50.18237499836112 -5.593291405705098,50.18237499836112,-5.593291405705098,,23 Aug 15 18:43:01,,
London Paddington Railway Station (PAD),Heading to St Ives!,Sat 22 Aug 15 14:51:47 +0000,51.51653047396814 -0.1766995665831226,51.51653047396814,-0.1766995665831226,,22 Aug 15 14:51:47,,
Dublin Airport (DUB) - Aerfort Bhaile Átha Cliath,Aerfort Bhaile Átha Cliath,Sat 22 Aug 15 06:50:22 +0000,53.426494618319474 -6.246109349192698,53.426494618319474,-6.246109349192698,,22 Aug 15 06:50:22,,
The Hairy Lemon,Quick catch up with some of Nick 's old friends!,Sat 22 Aug 15 01:02:00 +0000,53.340885862289184 -6.2637642476795845,53.340885862289184,-6.2637642476795845,,22 Aug 15 01:02:00,,
Aeroport de Barcelona-El Prat (BCN),Heading back to Dublin for one last night in Europe...,Fri 21 Aug 15 18:28:17 +0000,41.3029823476833 2.075882386340356,41.3029823476833,2.075882386340356,,21 Aug 15 18:28:17,,
Mercat de Santa Caterina,@ Mercat de Santa Caterina,Fri 21 Aug 15 12:14:48 +0000,41.38648712105522 2.1780961720868834,41.38648712105522,2.1780961720868834,,21 Aug 15 12:14:48,,
Park Güell,@ Park Güell,Thu 20 Aug 15 14:55:17 +0000,41.4140652635193 2.1531564449036678,41.4140652635193,2.1531564449036678,,20 Aug 15 14:55:17,,
Pizzeria Bella Toscana,Tapas on the plaza,Wed 19 Aug 15 16:57:01 +0000,41.37941739935568 2.1686281954054825,41.37941739935568,2.1686281954054825,,19 Aug 15 16:57:01,,
Apple Store Passeig de Gràcia,Buying a cable. This is more a public internet cafe than a store you have to go down unsigned stayed to find the actual store area,Tue 18 Aug 15 17:33:31 +0000,41.38785402795777 2.169391126343171,41.38785402795777,2.169391126343171,,18 Aug 15 17:33:31,,
Acoma,A surprisingly delightful terrace out back,Tue 18 Aug 15 16:04:27 +0000,41.38168432129747 2.1739593858911954,41.38168432129747,2.1739593858911954,,18 Aug 15 16:04:27,,
Museu d'Història de Barcelona (MUHBA),Culture learning,Tue 18 Aug 15 13:46:46 +0000,41.38388014858524 2.1778562089083637,41.38388014858524,2.1778562089083637,,18 Aug 15 13:46:46,,
Parfums De Beyrouth,Delicious,Mon 17 Aug 15 14:30:05 +0000,46.21018584761562 6.143147825524106,46.21018584761562,6.143147825524106,,17 Aug 15 14:30:05,,
Monument Brunswick,Killing an afternoon in Geneva before Barcelona.,Mon 17 Aug 15 11:43:53 +0000,46.208432838160526 6.149588444040446,46.208432838160526,6.149588444040446,,17 Aug 15 11:43:53,,
Saint-Julien-en-Genevois,@ Saint-Julien-en-Genevois,Sat 15 Aug 15 09:39:26 +0000,46.149761032180294 6.0835436048136176,46.149761032180294,6.0835436048136176,,15 Aug 15 09:39:26,,
Brasserie Le Gaulois,Almost didn't order the mussels!,Thu 13 Aug 15 15:06:52 +0000,49.25430836033827 4.02821049361741,49.25430836033827,4.02821049361741,,13 Aug 15 15:06:52,,
Champagne Veuve Clicquot-Ponsardin,Took Finley down to see the cellars built in the caves left by Roman chalk mines,Thu 13 Aug 15 13:45:36 +0000,49.23992890796712 4.045347524452453,49.23992890796712,4.045347524452453,,13 Aug 15 13:45:36,,
Le Six Hotel,Cocktails and air conditioning!,Wed 12 Aug 15 20:34:30 +0000,48.843910666598006 2.3280851101317404,48.843910666598006,2.3280851101317404,,12 Aug 15 20:34:30,,
Musée du Louvre,Experiencing some culture.,Wed 12 Aug 15 11:22:02 +0000,48.863096792597794 2.331103284770606,48.863096792597794,2.331103284770606,,12 Aug 15 11:22:02,,
Tour Eiffel,Touristing Eiffel,Mon 10 Aug 15 21:03:19 +0000,48.85348983507785 2.3036358286140532,48.85348983507785,2.3036358286140532,,10 Aug 15 21:03:19,,
Café du Marché des Enfants Rouges,Pre dinner drinks,Mon 10 Aug 15 17:08:23 +0000,48.862692120409754 2.362895886382699,48.862692120409754,2.362895886382699,,10 Aug 15 17:08:23,,
The Horseshoe Bar,Dinner again!,Sun 09 Aug 15 20:01:47 +0000,52.44638930465324 -9.48590761183992,52.44638930465324,-9.48590761183992,,09 Aug 15 20:01:47,,
Star And Garter,Irish craft beer,Sun 09 Aug 15 19:32:11 +0000,52.44714149140536 -9.482704042912177,52.44714149140536,-9.482704042912177,,09 Aug 15 19:32:11,,
The Horseshoe Bar,@ The Horseshoe Bar,Fri 07 Aug 15 20:53:47 +0000,52.44638585868247 -9.485885257212246,52.44638585868247,-9.485885257212246,,07 Aug 15 20:53:47,,
Murphy's Ice Cream,This icecream is so good that we've eaten it in two towns now,Fri 07 Aug 15 15:44:54 +0000,52.13961603300322 -10.272135588086309,52.13961603300322,-10.272135588086309,,07 Aug 15 15:44:54,,
The Dingle Pub,At the pub for lunch on our scenic day out,Fri 07 Aug 15 12:46:09 +0000,52.14138458414703 -10.268093562046703,52.14138458414703,-10.268093562046703,,07 Aug 15 12:46:09,,
The Laurels,Stopping for lunch on the way from Listowel to Cork with Nick and Erin and Nathan,Thu 06 Aug 15 12:58:58 +0000,52.05969943693581 -9.509333109192157,52.05969943693581,-9.509333109192157,,06 Aug 15 12:58:58,,
The Porterhouse,Trivia night in Cork,Wed 05 Aug 15 19:33:45 +0000,51.89829998459787 -8.478156086517636,51.89829998459787,-8.478156086517636,,05 Aug 15 19:33:45,,
Preacher's,Stopping for beer/rain protection,Wed 05 Aug 15 17:36:35 +0000,51.89829998459787 -8.478156086517636,51.89829998459787,-8.478156086517636,,05 Aug 15 17:36:35,,
The Franciscan Well Brewery &amp; Brewpub,@ The Franciscan Well Brewery &amp; Brewpub,Wed 05 Aug 15 16:50:28 +0000,51.898623510773795 -8.482377778975044,51.898623510773795,-8.482377778975044,,05 Aug 15 16:50:28,,
The English Market,The sassenach market as the street signs say,Wed 05 Aug 15 10:32:07 +0000,51.897589683880895 -8.4752536511509,51.897589683880895,-8.4752536511509,,05 Aug 15 10:32:07,,
Rearden's,Erin and Nathan's turn for pub food we're the moral support,Tue 04 Aug 15 20:57:32 +0000,51.89758740981187 -8.478087237908488,51.89758740981187,-8.478087237908488,,04 Aug 15 20:57:32,,
The Oliver Plunkett,Some Irish pub food with Pickle,Tue 04 Aug 15 18:48:02 +0000,51.89810080840926 -8.46991256380535,51.89810080840926,-8.46991256380535,,04 Aug 15 18:48:02,,
The Temple Bar,Ran into everyone!,Mon 03 Aug 15 22:23:43 +0000,53.34545018409548 -6.26437786964025,53.34545018409548,-6.26437786964025,,03 Aug 15 22:23:43,,
The Porterhouse,I'm here too!,Mon 03 Aug 15 20:32:19 +0000,53.34495858786685 -6.267690749907722,53.34495858786685,-6.267690749907722,,03 Aug 15 20:32:19,,
The Counter,Build a burger!,Mon 03 Aug 15 16:21:40 +0000,53.34344974164147 -6.26006867621328,53.34344974164147,-6.26006867621328,,03 Aug 15 16:21:40,,
Trinity College Old Library &amp; The Book of Kells Exhibition,Seeing the book of Kells,Mon 03 Aug 15 14:16:46 +0000,53.34360587546977 -6.256693217362043,53.34360587546977,-6.256693217362043,,03 Aug 15 14:16:46,,
Trinity College Old Library &amp; The Book of Kells Exhibition,@ Trinity College Old Library &amp; The Book of Kells Exhibition,Mon 03 Aug 15 14:15:43 +0000,53.33934335747257 -6.257385144996377,53.33934335747257,-6.257385144996377,,03 Aug 15 14:15:43,,
London Luton Airport (LTN),Drawback of liberal liquor licensing: no adults only areas in the terminal.,Sun 02 Aug 15 17:16:04 +0000,51.87911490945161 -0.3755668856533462,51.87911490945161,-0.3755668856533462,,02 Aug 15 17:16:04,,
The Spaniards Inn,Went for a nice walk through Hampstead Heath before dinner,Sat 01 Aug 15 18:02:11 +0000,51.5699537548789 -0.17380697030035466,51.5699537548789,-0.17380697030035466,,01 Aug 15 18:02:11,,
San Marcial,Tapas bar 2: finally letting Pete and Hannah take a turn at ordering!,Sat 25 Jul 15 18:57:42 +0000,43.31797497462381 -1.9841218936112448,43.31797497462381,-1.9841218936112448,,25 Jul 15 18:57:42,,
Rojo y negro,Another tapas crawl: stop 1. Tried the tjakoli wine that goes with it eh.,Sat 25 Jul 15 18:55:24 +0000,43.31797944134052 -1.984136229104529,43.31797944134052,-1.984136229104529,,25 Jul 15 18:55:24,,
San Telmo Museoa,Museum of Basque history. We mostly skipped the history part for the massive paintings in the old church and the art collections. Very nice!,Fri 24 Jul 15 16:27:51 +0000,43.32473964379428 -1.9841410076033192,43.32473964379428,-1.9841410076033192,,24 Jul 15 16:27:51,,
Hotel Londres e Inglaterra,Lunch menu $25 for three courses wine and coffee. I ate roast octopus and it was delicious!,Thu 23 Jul 15 14:19:17 +0000,43.31793644464579 -1.9852591904677064,43.31793644464579,-1.9852591904677064,,23 Jul 15 14:19:17,,
Café Irubi,Breakfast time!,Thu 23 Jul 15 08:42:31 +0000,43.31645694009881 -1.9846618670561975,43.31645694009881,-1.9846618670561975,,23 Jul 15 08:42:31,,
Dakara bi,Pintxos 2! Mmmm,Wed 22 Jul 15 19:52:54 +0000,43.32368958797208 -1.985435999739576,43.32368958797208,-1.985435999739576,,22 Jul 15 19:52:54,,
A Fuego Negro,Tapas 1,Wed 22 Jul 15 19:16:07 +0000,43.32387542151385 -1.98586607928736,43.32387542151385,-1.98586607928736,,22 Jul 15 19:16:07,,
Grande Plage,looks like an Australian beach with all the surf!,Wed 22 Jul 15 11:12:19 +0000,43.483804425246994 -1.5600210244713528,43.483804425246994,-1.5600210244713528,,22 Jul 15 11:12:19,,
Shakespeare's Globe Theatre,Saw Measure for Measure from the standing seats. I need to be taller!,Wed 15 Jul 15 16:25:28 +0000,51.50816917105231 -0.10863046662646555,51.50816917105231,-0.10863046662646555,,15 Jul 15 16:25:28,,
Highgate Wood,I'm running!,Tue 14 Jul 15 18:05:16 +0000,51.58137583907494 -0.1511987935870237,51.58137583907494,-0.1511987935870237,,14 Jul 15 18:05:16,,
Gail's Artisan Bakery,Stopped for coffee and treats on our walk with baby,Sat 11 Jul 15 16:24:23 +0000,51.57948639948774 -0.12353105940873316,51.57948639948774,-0.12353105940873316,,11 Jul 15 16:24:23,,
Flask Tavern,Out for dinner with the baby! Lovely patio on a warm summer evening too.,Fri 10 Jul 15 18:31:41 +0000,51.56967673323062 -0.15119296587573797,51.56967673323062,-0.15119296587573797,,10 Jul 15 18:31:41,,
St-Sulpice CGN,First stop on the scenic ferry route back to Geneva,Mon 06 Jul 15 13:57:43 +0000,46.518216239153254 6.623789099008555,46.518216239153254,6.623789099008555,,06 Jul 15 13:57:43,,
Lausanne,feels much cooler than Geneva!,Mon 06 Jul 15 11:53:17 +0000,46.51719923530326 6.629195754114059,46.51719923530326,6.629195754114059,,06 Jul 15 11:53:17,,
Place de Sardaigne,market and fair,Sat 04 Jul 15 12:23:27 +0000,46.182928946980475 6.138107795136065,46.182928946980475,6.138107795136065,,04 Jul 15 12:23:27,,
San Remo,Exorbitant swiss prices on the lake,Thu 02 Jul 15 12:36:03 +0000,46.202841446929554 6.156784970214303,46.202841446929554,6.156784970214303,,02 Jul 15 12:36:03,,
London Luton Airport (LTN),Off to Geneva to see Pat and family!,Thu 02 Jul 15 05:47:01 +0000,51.87830585946983 -0.3783979037357407,51.87830585946983,-0.3783979037357407,,02 Jul 15 05:47:01,,
Gelato Mio,Getting ice cream to stave off the heatwave and celebrate being out of the house with baby,Wed 01 Jul 15 14:11:54 +0000,51.58949218919156 -0.14528063682903508,51.58949218919156,-0.14528063682903508,,01 Jul 15 14:11:54,,
M&amp;M's World,M&amp;M's-ing,Mon 29 Jun 15 19:00:05 +0000,51.51060493722851 -0.1310583184762688,51.51060493722851,-0.1310583184762688,,29 Jun 15 19:00:05,,
Papadoms,A random restaurant on brick lane with Nathan,Mon 29 Jun 15 17:27:23 +0000,51.51949047133392 -0.07163357602733259,51.51949047133392,-0.07163357602733259,,29 Jun 15 17:27:23,,
London Heathrow Airport (LHR),Tiiiiired,Thu 25 Jun 15 08:59:05 +0000,51.46934784996732 -0.4614233264398879,51.46934784996732,-0.4614233264398879,,25 Jun 15 08:59:05,,
Oak &amp; Steel,Found a bottle of that Gin from last night :),Wed 24 Jun 15 22:04:52 +0000,40.766427967340775 -73.98169153516159,40.766427967340775,-73.98169153516159,,24 Jun 15 22:04:52,,
Museum of Modern Art (MoMA),This place really is awesome!The shop is dangerously tempting...,Wed 24 Jun 15 21:48:10 +0000,40.76132429739647 -73.97808729311669,40.76132429739647,-73.97808729311669,,24 Jun 15 21:48:10,,
Museum of Modern Art (MoMA),@ Museum of Modern Art (MoMA),Wed 24 Jun 15 19:39:31 +0000,40.76127493821667 -73.97709439291299,40.76127493821667,-73.97709439291299,,24 Jun 15 19:39:31,,
Drop Off Service,More NYC drinks with Nick,Wed 24 Jun 15 02:41:41 +0000,40.72994338245424 -73.9812840525862,40.72994338245424,-73.9812840525862,,24 Jun 15 02:41:41,,
Winslow Public House,Gin cocktail tasting with Nick and NYC friends!,Tue 23 Jun 15 22:58:32 +0000,40.7328623812815 -73.98532440499602,40.7328623812815,-73.98532440499602,,23 Jun 15 22:58:32,,
94 Corner Cafe,Late breakfast after riding bikes through Central Park with Nick,Tue 23 Jun 15 16:29:48 +0000,40.793127265598 -73.97269228230913,40.793127265598,-73.97269228230913,,23 Jun 15 16:29:48,,
Macao Trading Co.,Dropped in for a drink and some music with Nick,Tue 23 Jun 15 03:52:04 +0000,40.71975346986334 -74.00418208370961,40.71975346986334,-74.00418208370961,,23 Jun 15 03:52:04,,
Ferrara Bakery &amp; Cafe,@ Ferrara Bakery &amp; Cafe,Tue 23 Jun 15 03:11:46 +0000,40.71928033116608 -73.9969628993989,40.71928033116608,-73.9969628993989,,23 Jun 15 03:11:46,,
Times Square,@ Times Square,Tue 23 Jun 15 02:16:38 +0000,40.75636152344223 -73.9862828283949,40.75636152344223,-73.9862828283949,,23 Jun 15 02:16:38,,
New York Running Company,New running shoes!,Mon 22 Jun 15 21:30:31 +0000,40.767960850442144 -73.98165136086156,40.767960850442144,-73.98165136086156,,22 Jun 15 21:30:31,,
Park Hyatt New York,Hitting the gym til Nick gets in from Seattle. Niiiice.,Mon 22 Jun 15 19:57:13 +0000,40.76490413317972 -73.97934993336972,40.76490413317972,-73.97934993336972,,22 Jun 15 19:57:13,,
London Heathrow Airport (LHR),Taking off for New York!,Mon 22 Jun 15 08:15:22 +0000,51.47065796903078 -0.4622186210848928,51.47065796903078,-0.4622186210848928,,22 Jun 15 08:15:22,,
London Heathrow Airport (LHR),@ London Heathrow Airport (LHR),Fri 19 Jun 15 12:23:32 +0000,51.47197209352872 -0.4761455972644112,51.47197209352872,-0.4761455972644112,,19 Jun 15 12:23:32,,
Café e Bar Águia dos Andes,Watching Brazil v Colombia from a bar in Rio. It's alright.,Thu 18 Jun 15 01:41:54 +0000,-22.9505094046636 -43.1827208717256,-22.9505094046636,-43.1827208717256,,18 Jun 15 01:41:54,,
Aeropuerto Internacional Jorge Chávez (LIM),Sick since I landed feeling better as I leave...maybe Lima just doesn't agree with me. Hope Rio is more salubrious!,Tue 16 Jun 15 11:09:51 +0000,-12.0229102760642 -77.1076403621647,-12.0229102760642,-77.1076403621647,,16 Jun 15 11:09:51,,
Radisson Hotel Decapolis Miraflores,That hostel sucked so cashing in points for a nice last night in peru,Mon 15 Jun 15 15:47:23 +0000,-12.1255479661989 -77.0328415197169,-12.1255479661989,-77.0328415197169,,15 Jun 15 15:47:23,,
MiraBus,Doing a night bus tour to see the lights and the magic fountain :),Mon 15 Jun 15 00:01:29 +0000,-12.1213745265943 -77.0296758653004,-12.1213745265943,-77.0296758653004,,15 Jun 15 00:01:29,,
Aeropuerto Internacional Jorge Chávez (LIM),Made it to lima and found my airport pickup...now up experience the drive downtown!,Sat 13 Jun 15 18:54:04 +0000,-12.0257400404094 -77.1041226499022,-12.0257400404094,-77.1041226499022,,13 Jun 15 18:54:04,,
Choco Museo,milk melted chocolate chili powder and honey mixed to taste. Mmmmm.,Fri 12 Jun 15 23:41:02 +0000,-13.5174264881934 -71.9802572121415,-13.5174264881934,-71.9802572121415,,12 Jun 15 23:41:02,,
Cafe Morena,A relaxing lunch out of the massive parades that are going on every day in june,Fri 12 Jun 15 18:10:28 +0000,-13.5159144564314 -71.9802166951119,-13.5159144564314,-71.9802166951119,,12 Jun 15 18:10:28,,
Trattoria Adriano,I couldn't decide between pasta and some traditional steak so I got the steak+pasta bolognese dish!,Thu 11 Jun 15 01:30:14 +0000,-13.5179139028779 -71.978700196685,-13.5179139028779,-71.978700196685,,11 Jun 15 01:30:14,,
Ninos Hotel I,This hotel looks awesome was nice that my bus went straight past it so it was easy to find in the dark!,Thu 11 Jun 15 00:39:41 +0000,-13.5162173662459 -71.9831396954971,-13.5162173662459,-71.9831396954971,,11 Jun 15 00:39:41,,
Machu Picchu,@ Machu Picchu,Tue 09 Jun 15 12:12:27 +0000,-13.1653385297219 -72.5445286383412,-13.1653385297219,-72.5445286383412,,09 Jun 15 12:12:27,,
Quilla,Chose my dinner restaurant because they're showing Ecuador v Cameroon from the women's world cup.,Mon 08 Jun 15 23:41:37 +0000,-13.15427792847053 -72.52417136962546,-13.15427792847053,-72.52417136962546,,08 Jun 15 23:41:37,,
